municipality,group,variable,month,Mujeres de 15 a 49 años 3da dosis de dt,TOTAL
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,7,7
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,5,5
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,31,31
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,39,39
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,11,11
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,16,16
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,15,15
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,8,8
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,7,7
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,5,5
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,8,8
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,27,27
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,126,126
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,83,83
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,19,19
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,9,9
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,43,43
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,11,11
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1358,1358
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,19,19
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,7,7
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,9,9
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,7,7
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,20,20
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,13,13
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,3,3
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,697,697
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
LAJA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,7,7
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,10,10
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,8,8
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,10,10
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,12,12
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,4,4
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
MINEROS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,14,14
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
MOCOMOCO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,1,1
MONTEAGUDO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,5,5
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,111,111
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,10,10
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,9,9
OKINAWA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,28,28
ORURO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,51,51
PADCAYA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,2,2
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2008-01-01,6,6
