municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,4,4
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,48,48
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,3,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,7,7
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,3,3
GUAYARAMERIN,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,43,43
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,55,55
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
MOJOCOYA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,11,11
PAILON,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
POROMA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,3,3
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,13,13
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,4,4
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,5,5
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,3,3
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,82,82
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,5,5
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,60,60
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,10,10
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,4,4
TOCO,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,3,3
TOTORA(CBBA),otras vacunaciones,antirrabica humana esquema completo,2008-01-01,7,7
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
VACAS,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,2,2
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,9,9
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-01-01,11,11
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,4,4
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,10,10
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,51,51
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,9,9
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,4,4
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,12,12
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,65,65
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,6,6
POCONA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
POJO (CBBA),otras vacunaciones,antirrabica humana esquema completo,2008-02-01,3,3
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,16,16
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,3,3
ROBORE,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,9,9
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,4,4
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,5,5
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,140,140
SANTIAGO DE HUARI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,58,58
TARATA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
TOLEDO,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,4,4
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-02-01,5,5
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,14,14
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
CHAQUI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,44,44
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,5,5
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,11,11
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,6,6
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,71,71
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,5,5
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,6,6
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,5,5
POSTRER VALLE,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,20,20
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,11,11
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,6,6
