municipality,group,variable,month,Antirrábica canina,TOTAL
ACHOCALLA,otras vacunaciones,antirrabica canina,2008-01-01,17,17
AIQUILE,otras vacunaciones,antirrabica canina,2008-01-01,1232,1232
ALALAY,otras vacunaciones,antirrabica canina,2008-01-01,12,12
ANDAMARCA,otras vacunaciones,antirrabica canina,2008-01-01,4,4
ANZALDO,otras vacunaciones,antirrabica canina,2008-01-01,148,148
ARAMPAMPA,otras vacunaciones,antirrabica canina,2008-01-01,20,20
ARANI,otras vacunaciones,antirrabica canina,2008-01-01,9,9
ARBIETO,otras vacunaciones,antirrabica canina,2008-01-01,1160,1160
ARQUE,otras vacunaciones,antirrabica canina,2008-01-01,100,100
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2008-01-01,5,5
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2008-01-01,2,2
BETANZOS,otras vacunaciones,antirrabica canina,2008-01-01,8,8
BOLIVAR,otras vacunaciones,antirrabica canina,2008-01-01,206,206
BUENA VISTA,otras vacunaciones,antirrabica canina,2008-01-01,25,25
CABEZAS,otras vacunaciones,antirrabica canina,2008-01-01,68,68
CAIROMA,otras vacunaciones,antirrabica canina,2008-01-01,7,7
CAJUATA,otras vacunaciones,antirrabica canina,2008-01-01,163,163
CALAMARCA,otras vacunaciones,antirrabica canina,2008-01-01,20,20
CAMARGO,otras vacunaciones,antirrabica canina,2008-01-01,20,20
CAMIRI,otras vacunaciones,antirrabica canina,2008-01-01,200,200
CAPINOTA,otras vacunaciones,antirrabica canina,2008-01-01,145,145
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2008-01-01,4,4
CARACOLLO,otras vacunaciones,antirrabica canina,2008-01-01,40,40
CARANAVI,otras vacunaciones,antirrabica canina,2008-01-01,44,44
CARAPARI,otras vacunaciones,antirrabica canina,2008-01-01,50,50
CATACORA,otras vacunaciones,antirrabica canina,2008-01-01,3,3
CHAQUI,otras vacunaciones,antirrabica canina,2008-01-01,140,140
CHIMORE,otras vacunaciones,antirrabica canina,2008-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2008-01-01,7,7
CLIZA,otras vacunaciones,antirrabica canina,2008-01-01,482,482
COCHABAMBA,otras vacunaciones,antirrabica canina,2008-01-01,2939,2939
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2008-01-01,120,120
COLOMI,otras vacunaciones,antirrabica canina,2008-01-01,49,49
COLQUENCHA,otras vacunaciones,antirrabica canina,2008-01-01,16,16
COLQUIRI,otras vacunaciones,antirrabica canina,2008-01-01,10,10
CONCEPCION,otras vacunaciones,antirrabica canina,2008-01-01,1,1
CORIPATA,otras vacunaciones,antirrabica canina,2008-01-01,10,10
COROICO,otras vacunaciones,antirrabica canina,2008-01-01,49,49
CORQUE,otras vacunaciones,antirrabica canina,2008-01-01,9,9
