municipality,group,variable,month,Mujeres de 15 a 49 años 5ta dosis de dt,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,1,1
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,5,5
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,1,1
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,4,4
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,5,5
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,1,1
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,19,19
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,28,28
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,4,4
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,7,7
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,25,25
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,1,1
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,3,3
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,2,2
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,108,108
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,19,19
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,5,5
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2008-01-01,2,2
