municipality,group,variable,month,Mujeres de 15 a 49 años 4da dosis de dt,TOTAL
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,8,8
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,9,9
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,57,57
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,31,31
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,10,10
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,8,8
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,18,18
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,243,243
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,8,8
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,8,8
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,275,275
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,9,9
MALLA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
MONTEAGUDO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,10,10
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
ORURO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,14,14
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,7,7
PASORAPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
PATACAMAYA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,12,12
POCONA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
POJO (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,10,10
PORONGO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
PORTACHUELO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,7,7
POTOSI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
PRESTO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
PUERTO ACOSTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
PUERTO VILLARROEL,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
PUNATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,6,6
QUILLACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,16,16
QUIME,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
REYES,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
RIBERALTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,12,12
SACABA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,17,17
SAMAIPATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
SAN BORJA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,39,39
SAN LORENZO(TJA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,10,10
SAN RAFAEL,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
SANTA ANA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,848,848
SANTIAGO DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,10,10
SIPE SIPE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
SORATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,4,4
SUCRE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,60,60
TACOPAYA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
TAPACARI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,12,12
TARABUCO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
TARATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
TARIJA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,32,32
TARVITA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
TIAWANACU,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
TIQUIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
TIRAQUE (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
TOCO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
TOLATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
TOMINA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,8,8
TUPIZA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
URIONDO (A. CONCEPCION),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
VACAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
VALLEGRANDE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,12,12
VIACHA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
VILLA MONTES,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,5,5
VILLA TUNARI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,38,38
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
VILLAZON,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,3,3
VINTO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
YACUIBA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
YAMPARAEZ,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
YAPACANI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,2,2
YOTALA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-01-01,1,1
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,8,8
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,4,4
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,4,4
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,22,22
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,3,3
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,4,4
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,13,13
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,3,3
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,51,51
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,66,66
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,29,29
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,4,4
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,3,3
COMANCHE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,9,9
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,33,33
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,3,3
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,321,321
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,17,17
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,4,4
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,5,5
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,13,13
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
HUARACAJE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,3,3
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,16,16
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,5,5
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,2,2
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,1,1
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2008-02-01,254,254
