municipality,group,variable,month,Repetidas,TOTAL
ACACIO,consultas prenatales,repetidas,2008-01-01,15,15
ACHACACHI,consultas prenatales,repetidas,2008-01-01,148,148
ACHOCALLA,consultas prenatales,repetidas,2008-01-01,28,28
AIQUILE,consultas prenatales,repetidas,2008-01-01,139,139
ALALAY,consultas prenatales,repetidas,2008-01-01,11,11
ALCALA,consultas prenatales,repetidas,2008-01-01,12,12
ANCORAIMES,consultas prenatales,repetidas,2008-01-01,38,38
ANDAMARCA,consultas prenatales,repetidas,2008-01-01,15,15
ANTEQUERA,consultas prenatales,repetidas,2008-01-01,28,28
ANZALDO,consultas prenatales,repetidas,2008-01-01,13,13
APOLO,consultas prenatales,repetidas,2008-01-01,83,83
ARAMPAMPA,consultas prenatales,repetidas,2008-01-01,30,30
ARANI,consultas prenatales,repetidas,2008-01-01,29,29
ARBIETO,consultas prenatales,repetidas,2008-01-01,17,17
ARQUE,consultas prenatales,repetidas,2008-01-01,41,41
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2008-01-01,163,163
ATOCHA,consultas prenatales,repetidas,2008-01-01,79,79
AUCAPATA,consultas prenatales,repetidas,2008-01-01,3,3
AYATA,consultas prenatales,repetidas,2008-01-01,15,15
AYO AYO,consultas prenatales,repetidas,2008-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2008-01-01,124,124
AZURDUY,consultas prenatales,repetidas,2008-01-01,58,58
BATALLAS,consultas prenatales,repetidas,2008-01-01,53,53
BAURES,consultas prenatales,repetidas,2008-01-01,33,33
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2008-01-01,1,1
BELEN DE URMIRI,consultas prenatales,repetidas,2008-01-01,2,2
BELLA FLOR,consultas prenatales,repetidas,2008-01-01,3,3
BERMEJO,consultas prenatales,repetidas,2008-01-01,263,263
BETANZOS,consultas prenatales,repetidas,2008-01-01,130,130
BOLIVAR,consultas prenatales,repetidas,2008-01-01,7,7
BOLPEBRA,consultas prenatales,repetidas,2008-01-01,8,8
BOYUIBE,consultas prenatales,repetidas,2008-01-01,11,11
BUENA VISTA,consultas prenatales,repetidas,2008-01-01,55,55
CABEZAS,consultas prenatales,repetidas,2008-01-01,126,126
CAIROMA,consultas prenatales,repetidas,2008-01-01,37,37
"CAIZA ""D""",consultas prenatales,repetidas,2008-01-01,33,33
CAJUATA,consultas prenatales,repetidas,2008-01-01,33,33
CALACOTO,consultas prenatales,repetidas,2008-01-01,8,8
CALAMARCA,consultas prenatales,repetidas,2008-01-01,38,38
CAMARGO,consultas prenatales,repetidas,2008-01-01,85,85
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2008-01-01,18,18
CAMIRI,consultas prenatales,repetidas,2008-01-01,202,202
CAPINOTA,consultas prenatales,repetidas,2008-01-01,159,159
CAQUIAVIRI,consultas prenatales,repetidas,2008-01-01,14,14
CARACOLLO,consultas prenatales,repetidas,2008-01-01,98,98
