municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,6,6
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,53,53
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,62,62
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,6,6
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,4,4
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,11,11
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,4,4
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,3,3
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,11,11
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,19,19
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,2,2
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,26,26
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,11,11
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,9,9
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,44,44
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,27,27
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,2,2
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,36,36
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,18,18
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,13,13
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,2,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,4,4
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,59,59
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,26,26
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,4,4
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,14,14
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,40,40
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,7,7
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,7,7
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,11,11
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,11,11
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,86,86
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,27,27
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,6,6
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,27,27
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,81,81
CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,13,13
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,6,6
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,9,9
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CHACARILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,38,38
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,10,10
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,38,38
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,16,16
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,28,28
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,32,32
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,5,5
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,46,46
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,110,110
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1548,1548
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,54,54
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,9,9
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,27,27
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,8,8
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,40,40
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,2,2
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,50,50
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,3,3
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,43,43
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,28,28
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,17,17
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,12,12
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,1,1
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,21,21
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,4,4
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,16,16
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2008-01-01,89,89
