municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,28,28
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,2,2
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,65,65
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,13,13
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,8,8
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,10,10
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,11,11
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,12,12
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,55,55
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,16,16
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,28,28
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,12,12
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,60,60
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,39,39
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,2,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,17,17
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,23,23
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,7,7
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,8,8
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,14,14
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,11,11
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,75,75
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,22,22
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,26,26
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,65,65
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,8,8
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,42,42
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,40,40
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,20,20
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,14,14
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,27,27
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,82,82
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1024,1024
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,42,42
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,1,1
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,20,20
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,9,9
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,37,37
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,5,5
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,34,34
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,25,25
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,34,34
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,13,13
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,13,13
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,11,11
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,7,7
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,23,23
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,45,45
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,23,23
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,3,3
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,13,13
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,8,8
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,7,7
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,993,993
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,6,6
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,14,14
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,21,21
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,48,48
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2008-01-01,4,4
