municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,6,6
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,32,32
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,14,14
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,26,26
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,6,6
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,1,1
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,10,10
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,2,2
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,2,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,8,8
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,15,15
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,4,4
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,19,19
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,9,9
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,11,11
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,32,32
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,11,11
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,4,4
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,1,1
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,36,36
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,6,6
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,13,13
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2008-01-01,2,2
