,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2013-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AIQUILE,chagas,tratamientos en mujeres post parto,2013-02-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
TUPIZA,chagas,tratamientos en mujeres post parto,2013-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2013-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AIQUILE,chagas,tratamientos en mujeres post parto,2013-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SOPACHUY,chagas,tratamientos en mujeres post parto,2013-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2013-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TOLATA,chagas,tratamientos en mujeres post parto,2013-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUNA,chagas,tratamientos en mujeres post parto,2013-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SUCRE,chagas,tratamientos en mujeres post parto,2013-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,tratamientos en mujeres post parto,2013-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TUPIZA,chagas,tratamientos en mujeres post parto,2013-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TUPIZA,chagas,tratamientos en mujeres post parto,2013-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
