,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-01-01,0,1,33,28,33,29,62
BERMEJO,chagas,tratamientos de 15 anos y mas,2013-01-01,1,6,0,2,1,8,9
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-01-01,1,1,0,0,1,1,2
CHAQUI,chagas,tratamientos de 15 anos y mas,2013-01-01,0,4,0,0,0,4,4
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-01-01,2,8,3,7,5,15,20
COMARAPA,chagas,tratamientos de 15 anos y mas,2013-01-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-01-01,0,2,0,0,0,2,2
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2013-01-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-01-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-01-01,7,4,0,1,7,5,12
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-01-01,0,0,1,1,1,1,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-01-01,0,0,0,1,0,1,1
SACABA,chagas,tratamientos de 15 anos y mas,2013-01-01,3,7,0,0,3,7,10
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2013-01-01,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,chagas,tratamientos de 15 anos y mas,2013-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-01-01,3,7,3,2,6,9,15
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-01-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-01-01,18,30,6,17,24,47,71
TARABUCO,chagas,tratamientos de 15 anos y mas,2013-01-01,1,4,0,0,1,4,5
TARIJA,chagas,tratamientos de 15 anos y mas,2013-01-01,29,10,7,12,36,22,58
