,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,0,0,1,1,1,1,2
CHAQUI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,3,0,0,0,3,0,3
CLIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,2,0,21,24,23,24,47
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,1,0,1,1,2,3
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,3,3,3,6,6,9,15
SAMAIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,0,0,1,1,1,1,2
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,1,0,0,1,1,2
TOTORA(CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,0,3,0,0,0,3,3
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,5,7,2,4,7,11,18
VINTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,2,0,0,0,2,0,2
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,1,0,3,0,4,0,4
