,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,2,0,0,0,2,0,2
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,1,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-01-01,2,1,0,0,2,1,3
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,0,0,0,1,0,1,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,0,3,0,0,0,3,3
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,1,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-02-01,0,0,1,1,1,1,2
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-03-01,0,0,1,0,1,0,1
