,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,0,1,0,0,0,1,1
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,1,0,0,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-01-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-02-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-02-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-02-01,1,0,0,1,1,1,2
COROICO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,1,0,1,0,2,0,2
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,0,0,1,0,1,0,1
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,0,2,0,0,0,2,2
PUNA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,0,2,0,0,0,2,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2013-03-01,1,2,0,0,1,2,3
