,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVA,PERSONAS DE 5 A 9 AÑOS NUEVA,PERSONAS DE 5 A 9 AÑOS REPETIDAS,PERSONAS DE 5 A 9 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2008-01-01,23,5,0,0,23,5,28
ACHACACHI,consulta externa,personas de 5 a 9 anos,2008-01-01,66,86,4,11,70,97,167
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2008-01-01,8,8,3,0,11,8,19
AIQUILE,consulta externa,personas de 5 a 9 anos,2008-01-01,99,97,18,13,117,110,227
ALCALA,consulta externa,personas de 5 a 9 anos,2008-01-01,26,22,0,0,26,22,48
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2008-01-01,8,5,1,0,9,5,14
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,1,1,0,2,1,3
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2008-01-01,13,12,0,1,13,13,26
ANZALDO,consulta externa,personas de 5 a 9 anos,2008-01-01,11,10,0,2,11,12,23
APOLO,consulta externa,personas de 5 a 9 anos,2008-01-01,47,47,3,9,50,56,106
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,2,0,0,1,2,3
ARANI,consulta externa,personas de 5 a 9 anos,2008-01-01,20,12,0,0,20,12,32
ARBIETO,consulta externa,personas de 5 a 9 anos,2008-01-01,8,17,0,1,8,18,26
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2008-01-01,61,75,6,5,67,80,147
ATOCHA,consulta externa,personas de 5 a 9 anos,2008-01-01,107,132,19,23,126,155,281
AUCAPATA,consulta externa,personas de 5 a 9 anos,2008-01-01,24,19,1,1,25,20,45
AYATA,consulta externa,personas de 5 a 9 anos,2008-01-01,50,40,0,0,50,40,90
AYO AYO,consulta externa,personas de 5 a 9 anos,2008-01-01,16,11,0,0,16,11,27
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 5 a 9 anos,2008-01-01,18,52,2,2,20,54,74
AZURDUY,consulta externa,personas de 5 a 9 anos,2008-01-01,24,24,0,0,24,24,48
