,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 5 anos,2008-01-01,130,116,1,0,131,116,247
ACHACACHI,consulta externa,menores de 5 anos,2008-01-01,194,177,14,2,208,179,387
ACHOCALLA,consulta externa,menores de 5 anos,2008-01-01,91,98,5,2,96,100,196
AIQUILE,consulta externa,menores de 5 anos,2008-01-01,436,453,10,7,446,460,906
ALALAY,consulta externa,menores de 5 anos,2008-01-01,55,33,0,0,55,33,88
ALCALA,consulta externa,menores de 5 anos,2008-01-01,159,141,0,3,159,144,303
ANCORAIMES,consulta externa,menores de 5 anos,2008-01-01,141,131,1,2,142,133,275
ANDAMARCA,consulta externa,menores de 5 anos,2008-01-01,11,9,2,2,13,11,24
ANTEQUERA,consulta externa,menores de 5 anos,2008-01-01,31,33,6,9,37,42,79
ANZALDO,consulta externa,menores de 5 anos,2008-01-01,68,81,14,7,82,88,170
APOLO,consulta externa,menores de 5 anos,2008-01-01,343,303,21,52,364,355,719
ARAMPAMPA,consulta externa,menores de 5 anos,2008-01-01,99,93,0,0,99,93,192
ARANI,consulta externa,menores de 5 anos,2008-01-01,114,84,1,0,115,84,199
ARBIETO,consulta externa,menores de 5 anos,2008-01-01,129,94,25,25,154,119,273
ARQUE,consulta externa,menores de 5 anos,2008-01-01,154,137,2,1,156,138,294
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2008-01-01,331,254,25,21,356,275,631
ATOCHA,consulta externa,menores de 5 anos,2008-01-01,286,319,29,36,315,355,670
AUCAPATA,consulta externa,menores de 5 anos,2008-01-01,74,53,8,3,82,56,138
AYATA,consulta externa,menores de 5 anos,2008-01-01,155,118,2,1,157,119,276
AYO AYO,consulta externa,menores de 5 anos,2008-01-01,63,56,4,2,67,58,125
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2008-01-01,360,381,5,6,365,387,752
AZURDUY,consulta externa,menores de 5 anos,2008-01-01,383,316,2,2,385,318,703
BATALLAS,consulta externa,menores de 5 anos,2008-01-01,92,66,0,0,92,66,158
