,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS REPETIDAS,PERSONAS DE 10 A 20 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2008-01-01,25,22,1,0,26,22,48
ACHACACHI,consulta externa,personas de 10 a 20 anos,2008-01-01,71,97,2,11,73,108,181
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2008-01-01,8,21,0,5,8,26,34
AIQUILE,consulta externa,personas de 10 a 20 anos,2008-01-01,87,249,22,92,109,341,450
ALALAY,consulta externa,personas de 10 a 20 anos,2008-01-01,6,7,0,0,6,7,13
ALCALA,consulta externa,personas de 10 a 20 anos,2008-01-01,32,46,0,0,32,46,78
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2008-01-01,10,38,3,3,13,41,54
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2008-01-01,2,3,1,0,3,3,6
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2008-01-01,5,12,1,0,6,12,18
ANZALDO,consulta externa,personas de 10 a 20 anos,2008-01-01,14,25,6,2,20,27,47
APOLO,consulta externa,personas de 10 a 20 anos,2008-01-01,9,25,0,0,9,25,34
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2008-01-01,8,18,0,0,8,18,26
ARANI,consulta externa,personas de 10 a 20 anos,2008-01-01,17,18,0,0,17,18,35
ARBIETO,consulta externa,personas de 10 a 20 anos,2008-01-01,15,30,3,8,18,38,56
ATOCHA,consulta externa,personas de 10 a 20 anos,2008-01-01,176,276,58,76,234,352,586
AUCAPATA,consulta externa,personas de 10 a 20 anos,2008-01-01,38,32,2,0,40,32,72
AYATA,consulta externa,personas de 10 a 20 anos,2008-01-01,7,7,0,0,7,7,14
AYO AYO,consulta externa,personas de 10 a 20 anos,2008-01-01,21,20,1,2,22,22,44
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 10 a 20 anos,2008-01-01,69,72,1,0,70,72,142
AZURDUY,consulta externa,personas de 10 a 20 anos,2008-01-01,71,114,0,0,71,114,185
