,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS REPETIDAS,PERSONAS DE 21 A 59 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2008-01-01,83,112,1,1,84,113,197
ACHACACHI,consulta externa,personas de 21 a 59 anos,2008-01-01,220,419,12,23,232,442,674
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2008-01-01,13,36,0,3,13,39,52
AIQUILE,consulta externa,personas de 21 a 59 anos,2008-01-01,118,313,5,113,123,426,549
ALALAY,consulta externa,personas de 21 a 59 anos,2008-01-01,19,44,0,0,19,44,63
ALCALA,consulta externa,personas de 21 a 59 anos,2008-01-01,74,196,0,1,74,197,271
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2008-01-01,46,147,5,5,51,152,203
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2008-01-01,19,13,1,1,20,14,34
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2008-01-01,13,14,2,2,15,16,31
ANZALDO,consulta externa,personas de 21 a 59 anos,2008-01-01,13,26,2,2,15,28,43
APOLO,consulta externa,personas de 21 a 59 anos,2008-01-01,118,222,11,45,129,267,396
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2008-01-01,35,75,2,0,37,75,112
ARANI,consulta externa,personas de 21 a 59 anos,2008-01-01,21,66,0,3,21,69,90
ARBIETO,consulta externa,personas de 21 a 59 anos,2008-01-01,37,95,10,37,47,132,179
ARQUE,consulta externa,personas de 21 a 59 anos,2008-01-01,1,10,0,0,1,10,11
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2008-01-01,131,315,13,24,144,339,483
ATOCHA,consulta externa,personas de 21 a 59 anos,2008-01-01,702,847,163,168,865,1015,1880
AUCAPATA,consulta externa,personas de 21 a 59 anos,2008-01-01,42,86,0,3,42,89,131
AYATA,consulta externa,personas de 21 a 59 anos,2008-01-01,84,193,3,2,87,195,282
AYO AYO,consulta externa,personas de 21 a 59 anos,2008-01-01,50,92,0,5,50,97,147
