,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2008-01-01,24,28,1,0,25,28,53
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-01-01,179,189,21,32,200,221,421
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-01-01,9,14,0,2,9,16,25
AIQUILE,consulta externa,personas de 60 anos y mas,2008-01-01,82,158,27,22,109,180,289
ALALAY,consulta externa,personas de 60 anos y mas,2008-01-01,2,11,1,0,3,11,14
ALCALA,consulta externa,personas de 60 anos y mas,2008-01-01,23,46,1,0,24,46,70
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-01-01,28,41,1,7,29,48,77
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-01-01,9,4,0,0,9,4,13
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-01-01,2,0,0,0,2,0,2
ANZALDO,consulta externa,personas de 60 anos y mas,2008-01-01,13,13,0,1,13,14,27
APOLO,consulta externa,personas de 60 anos y mas,2008-01-01,46,40,17,13,63,53,116
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-01-01,6,14,0,0,6,14,20
ARANI,consulta externa,personas de 60 anos y mas,2008-01-01,12,26,0,2,12,28,40
ARBIETO,consulta externa,personas de 60 anos y mas,2008-01-01,19,31,9,22,28,53,81
ARQUE,consulta externa,personas de 60 anos y mas,2008-01-01,13,17,0,1,13,18,31
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-01-01,43,41,0,2,43,43,86
ATOCHA,consulta externa,personas de 60 anos y mas,2008-01-01,71,109,47,83,118,192,310
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-01-01,14,15,0,0,14,15,29
AYATA,consulta externa,personas de 60 anos y mas,2008-01-01,20,23,0,1,20,24,44
AYO AYO,consulta externa,personas de 60 anos y mas,2008-01-01,13,17,0,1,13,18,31
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-01-01,47,74,2,1,49,75,124
