,group,variable,month,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
AIQUILE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,5,19,24
ALALAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
ALCALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
ANZALDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,7,8
ARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
ARBIETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,6,7
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,33,13,46
ATOCHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,3,5
AZURDUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,4,6
BAURES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
BERMEJO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,21,3,24
BOLIVAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,3,3
BOYUIBE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
CABEZAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
CAIROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
CAMARGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,7,6,13
CAPINOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
CARACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,8,1,9
CARANAVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,9,0,9
CARAPARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,8,0,8
CHALLAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,14,11,25
CHARAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,3,3
CHIMORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,7,11,18
CLIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,6,12,18
COBIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,38,2,40
COCHABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,153,27,180
COLCAPIRHUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,0,3
"COLCHA ""K""",vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,7,2,9
COMARAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,0,3
CONCEPCION,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
COROICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,10,10
COTAGAITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,11,13,24
COTOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,9,10,19
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
EL ALTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,246,109,355
EL PUENTE(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,6,0,6
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,4,2,6
EL TORNO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,27,9,36
EL VILLAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,11,2,13
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,15,3,18
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,11,6,17
FILADELFIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,3,3
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,45,3,48
HUACARETA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,7,1,8
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
HUANUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,21,4,25
HUARINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
HUAYLLAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
ICLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
INCAHUASI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
INQUISIVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,9,9
IXIAMAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,4,0,4
LA GUARDIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,18,3,21
LA PAZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,152,2,154
LAGUNILLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,0,3
LAS CARRERAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,0,2
LICOMA PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
LORETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,7,7
LURIBAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
MAGDALENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,0,3
MAIRANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,4,0,4
MINEROS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,19,1,20
MIZQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,6,7,13
MOJOCOYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,1,2
MONTEAGUDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,26,5,31
MONTERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,92,1,93
MORO MORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
MOROCHATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,0,1,1
OKINAWA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,0,3
OMEREQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,6,8
ORURO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,185,7,192
PADCAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,3,1,4
PADILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,10,3,13
PAILON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,4,3,7
PALOS BLANCOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,1,0,1
PASORAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,3,5
POCONA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,10,12
POJO (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-01-01,2,1,3
