municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,3,3
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,119,119
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,18,18
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,42,42
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,11,11
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5,5
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,15,15
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,220,220
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,54,54
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5,5
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,31,31
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,11,11
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,4,4
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,4,4
BELLA FLOR,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,86,86
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,24,24
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,3,3
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,14,14
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,20,20
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,7,7
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,17,17
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5,5
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,47,47
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,3,3
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,233,233
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,53,53
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,31,31
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,145,145
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,6,6
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,18,18
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,122,122
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,77,77
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,9,9
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,44,44
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,32,32
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,4,4
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,2,2
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,92,92
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,572,572
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,7,7
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5181,5181
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,392,392
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,3,3
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,29,29
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,4,4
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,15,15
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,7,7
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5,5
COMANCHE,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,69,69
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,104,104
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2022-01-01,5,5
