municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,120,120
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,558,558
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,64,64
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,145,145
APOLO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,91,91
ARANI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,340,340
AYATA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,1193,1193
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,310,310
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,460,460
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,226,226
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,1,1
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2022-01-01,278,278
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,558,558
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,341,341
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,244,244
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,620,620
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,164,164
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,120,120
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,310,310
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,60,60
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,217,217
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,50,50
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,310,310
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,341,341
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,1823,1823
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,589,589
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,13051,13051
COIPASA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,380,380
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2022-01-01,61,61
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,527,527
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,310,310
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,46,46
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
COROICO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,403,403
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,185,185
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,310,310
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,7044,7044
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,589,589
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,531,531
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
FILADELFIA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,95,95
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,775,775
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,126,126
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,434,434
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,248,248
HUARACAJE,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,31,31
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,63,63
ICLA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,434,434
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,465,465
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2022-01-01,93,93
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,90,90
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,155,155
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,465,465
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,1116,1116
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,14652,14652
LA RIVERA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,62,62
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,24,24
LAJA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,122,122
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,341,341
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,124,124
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2022-01-01,153,153
