,group,variable,month,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,13,10,13,10,23
ALCALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,4,2,4,6
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,6,2,6,2,8
BOYUIBE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,0,1,0,1
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,4,4,4,8
CAJUATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,10,6,10,6,16
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,6,2,6,8
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,7,15,7,15,22
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,3,4,3,7
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,2,2,2,4
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,9,4,9,13
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,31,29,31,29,60
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,9,4,9,4,13
CURVA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,0,1,0,1
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,135,125,135,125,260
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,1,1,1,2
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,0,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,5,1,5,6
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,4,0,4,4
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,7,2,7,2,9
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,1,1,1,2
ICHOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,0,1,0,1
