,group,variable,month,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,0,2,0,2
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,3,1,3,4
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,1,2,1,3
CAJUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,4,4,4,8
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,4,7,4,7,11
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,33,30,33,30,63
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,3,5,3,5,8
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
HUANUNI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
ICHOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,1,1,1,2
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,3,2,3,2,5
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,1,1,1,2
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,3,3,3,3,6
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,2,1,2,3
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,5,6,5,6,11
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,2,2,2,4
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,3,0,3,3
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,2,0,2,2
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,3,2,3,5
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,8,9,8,9,17
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,1,1,1,2
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,0,2,0,2
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
