,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
AYO AYO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
CHALLAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,2,0,2,2
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,3,0,3,3
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,2,0,1,0,3,3
COLOMI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,8,0,8,8
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,2,0,10,0,12,12
COMARAPA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,2,0,0,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
