,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,7,2,9,6,16,22
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,11,1,1,6,12,18
ALCALA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,3,0,3,0,3
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,1,2,1,5,6
ANDAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,1,1,1,2
ANTEQUERA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,5,0,0,0,5,5
ARAMPAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,2,2,2,2,4
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,14,20,0,0,14,20,34
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,11,1,4,3,15,18
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,43,0,0,5,43,48
ATOCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,3,0,0,2,3,5
AYATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,2,0,2,2
