,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,18,9,16,0,34,9,43
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,4,6,0,0,4,6,10
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,2,0,0,0,2,0,2
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,1,8,0,0,1,8,9
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,1,3,0,0,1,3,4
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,1,1,2,2,3,3,6
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,3,3,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,8,13,0,0,8,13,21
