,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-01-01,0,0,10,13,10,13,23
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-01-01,3,0,0,0,3,0,3
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-01-01,2,3,1,2,3,5,8
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-02-01,0,0,2,0,2,0,2
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-02-01,3,1,0,0,3,1,4
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-03-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-03-01,2,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,16,24,3,5,19,29,48
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,3,0,0,0,3,0,3
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,0,0,3,0,3,0,3
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,2,2,0,0,2,2,4
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,4,1,0,0,4,1,5
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2020-04-01,0,2,0,0,0,2,2
