,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,4,7,1,11,5,18,23
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,7,0,0,0,7,7
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,1,3,1,0,2,3,5
ALCALA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,2,1,0,0,2,1,3
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,0,0,2,0,2,2
ANTEQUERA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
ARANI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,2,18,1,0,3,18,21
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,1,0,1,0,2,2
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,5,22,0,0,5,22,27
AYATA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,1,2,0,2,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,3,1,3,0,6,1,7
BATALLAS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
