,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,3,0,0,0,3,0,3
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,2,0,0,0,2,2
ARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,1,1,0,0,1,1,2
ARQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
AZURDUY,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,1,3,0,0,1,3,4
BETANZOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,2,2,0,0,2,2,4
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,2,9,0,0,2,9,11
CHALLAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,2,1,0,0,2,1,3
CHIPAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,0,0,1,0,1,1
CLIZA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,3,2,1,2,4,6
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,6,12,0,0,6,12,18
COLCAPIRHUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2020-01-01,0,2,0,0,0,2,2
