,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EXALTACION,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-01-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-01-01,5.0,9.0,0.0,1.0,5.0,10.0,15.0
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-02-01,0.0,0.0,3.0,4.0,3.0,4.0,7.0
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-02-01,7.0,6.0,2.0,2.0,9.0,8.0,17.0
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,2.0,16.0,1.0,1.0,3.0,17.0,20.0
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
MAGDALENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,0.0,0.0,2.0,2.0,2.0,2.0,4.0
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,24.0,18.0,0.0,0.0,24.0,18.0,42.0
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2020-04-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
