,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,2,5,6,1,8,6,14
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,5,0,0,0,5,5
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,3,0,0,0,3,0,3
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,3,2,0,0,3,2,5
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2020-01-01,1,3,0,0,1,3,4
