,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,3,7,7,11,10,18,28
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,24,0,0,0,24,24
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,4,16,2,10,6,26,32
ALCALA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,3,1,2,1,5,6
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,3,0,0,4,3,4,7
ANTEQUERA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,1,4,0,3,1,7,8
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,6,0,0,0,6,6
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,1,3,4,3,5,8
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,13,30,3,0,16,30,46
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,5,10,0,2,5,12,17
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,0,3,5,2,5,5,10
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,30,21,0,0,30,21,51
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2020-01-01,1,2,13,1,14,3,17
