,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2020-01-01,1,4,0,0,1,4,5
ORURO,otras vacunaciones,influenza estacional a personal de salud,2020-01-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,influenza estacional a personal de salud,2020-01-01,0,0,1,0,1,0,1
UYUNI,otras vacunaciones,influenza estacional a personal de salud,2020-01-01,1,2,0,2,1,4,5
UYUNI,otras vacunaciones,influenza estacional a personal de salud,2020-02-01,1,1,1,1,2,2,4
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2020-03-01,2,2,0,0,2,2,4
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personal de salud,2020-03-01,0,0,0,2,0,2,2
ANZALDO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,4,6,0,0,4,6,10
ARBIETO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,2,6,0,0,2,6,8
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,4,7,0,0,4,7,11
CLIZA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,17,42,0,0,17,42,59
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,62,142,60,70,122,212,334
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,1522,746,0,0,1522,746,2268
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,5,18,0,0,5,18,23
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,45,93,0,0,45,93,138
ORURO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,151,299,0,0,151,299,450
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,38,49,0,0,38,49,87
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,7,5,0,0,7,5,12
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,5,5,2,1,7,6,13
