,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,2,2,0,0,2,2,4
ARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,1,1,0,1,1,2,3
BOLIVAR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,1,13,0,2,1,15,16
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,3,0,0,0,3,3
CHALLAPATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,2,0,0,0,2,0,2
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2020-01-01,97,63,0,0,97,63,160
