,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,0,0,1,0,1,1
ANZALDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,0,0,1,0,1,1
AUCAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,2,0,3,3
BOLIVAR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,0,0,1,0,1,1
CABEZAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,3,0,0,0,3,3
CALAMARCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,0,0,2,0,2,2
EL ALTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,2,0,1,0,3,3
HUACHACALLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,2,0,5,0,7,7
LA PAZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,62,0,19,0,81,81
LAJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
