,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-01-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-02-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,41.0,0.0,0.0,0.0,41.0,41.0
SUCRE,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TARATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
TARIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-04-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
ACACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2020-05-01,0.0,17.0,0.0,7.0,0.0,24.0,24.0
