,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,4,17,7,12,11,29,40
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,6,48,0,0,6,48,54
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,6,6,2,3,8,9,17
ALCALA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,1,0,5,5
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,1,0,1,1,2,1,3
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,3,5,1,10,4,15,19
ANTEQUERA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,2,6,0,0,2,6,8
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,1,7,0,0,1,7,8
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,0,3,8,13,8,16,24
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,44,60,1,0,45,60,105
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,7,13,4,11,11,24,35
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,1,0,1,4,2,4,6
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2020-01-01,26,26,0,0,26,26,52
