,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,3,6,0,5,3,11,14
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,2,4,0,0,2,4,6
AIQUILE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,2,1,0,1,2,2,4
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,2,2,4,1,6,3,9
ANCORAIMES,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,4,2,0,0,4,2,6
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
ARANI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,1,4,0,2,1,6,7
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
ARQUE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,3,2,1,0,4,2,6
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,1,14,0,0,1,14,15
ATOCHA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,3,1,0,0,3,1,4
AUCAPATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
AYATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,2,0,1,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,1,0,1,0,2,2
BETANZOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
