,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,1,20,0,0,1,20,21
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
BOLPEBRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,2,1,0,0,2,1,3
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,1,3,0,0,1,3,4
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
CHIPAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,0,1,1,1,1,2
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,1,3,0,0,1,3,4
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,15,43,0,0,15,43,58
COLCAPIRHUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2020-01-01,0,1,2,1,2,2,4
