,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,1,0,0,1,1,2
CKOCHAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,4,3,0,0,4,3,7
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,2,2,0,0,2,2,4
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,0,0,0,1,0,1
PAILON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,1,0,0,1,1,2
POSTRER VALLE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,3,0,0,1,3,4
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,4,2,0,0,4,2,6
TIQUIPAYA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2020-01-01,1,0,0,0,1,0,1
