,group,variable,month,TOTAL 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTAL 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos en mujeres post parto,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUPIZA,chagas,      tratamientos en mujeres post parto,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POTOSI,chagas,      tratamientos en mujeres post parto,2014-04-01,0.0,117.0,0.0,0.0,0.0,117.0,117.0
EL PUENTE(TJA),chagas,      tratamientos en mujeres post parto,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos en mujeres post parto,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
WARNES,chagas,      tratamientos en mujeres post parto,2014-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
COCHABAMBA,chagas,      tratamientos en mujeres post parto,2014-07-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
RAVELO,chagas,      tratamientos en mujeres post parto,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos en mujeres post parto,2014-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COROICO,chagas,      tratamientos en mujeres post parto,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POTOSI,chagas,      tratamientos en mujeres post parto,2014-09-01,0.0,10.0,0.0,0.0,0.0,10.0,10.0
VALLEGRANDE,chagas,      tratamientos en mujeres post parto,2014-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COMARAPA,chagas,      tratamientos en mujeres post parto,2014-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL TORNO,chagas,      tratamientos en mujeres post parto,2014-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
