,group,variable,month,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,1,1,1,1,2
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,1,0,0,0,1,0,1
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,1,0,0,0,1,0,1
LA GUARDIA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,0,1,0,1,1
MAIRANA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,1,0,0,0,1,0,1
MINEROS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,0,1,0,2,2
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,2,2,2,3,5
OMEREQUE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,0,1,0,1,1
RAVELO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,3,1,3,2,5
SIPE SIPE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,3,0,3,0,3
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,0,0,0,1,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,3,7,7,7,10,17
