,group,variable,month,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMIRI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,2,0,0,0,2,0,2
CAPINOTA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,0,1,0,1,0,1
CHARAGUA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,1,3,0,0,1,3,4
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,1,0,0,0,1,1
MIZQUE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,2,1,0,0,2,1,3
TARIJA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,0,2,0,2,0,2
VILLA MONTES,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,0,0,1,0,1,1
YACUIBA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-01-01,0,0,1,1,1,1,2
COTAGAITA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,0,0,0,2,0,2,2
GUTIERREZ,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,1,0,0,0,1,0,1
PAMPA GRANDE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,0,4,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,0,0,1,1,1,1,2
SIPE SIPE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,0,0,2,2,2,2,4
