,group,variable,month,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMIRI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,0,1,0,0,0,1,1
MINEROS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,2,0,1,0,3,0,3
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,0,0,0,1,0,1,1
SHINAOTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,0,0,1,0,1,0,1
TARIJA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,1,0,4,8,5,8,13
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-01-01,1,0,0,0,1,0,1
HUACARETA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,0,0,0,1,0,1
MIZQUE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,0,0,0,1,0,1
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,0,1,1,2,1,3
SAN JULIAN,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,1,0,0,0,1,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,0,0,0,1,0,1
TARIJA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,0,1,0,1,0,1
