,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,3,0,0,4,3,7
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,14,49,0,0,14,49,63
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,18,0,0,3,18,21
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,28,43,0,0,28,43,71
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,5,0,0,3,5,8
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,1,0,0,7,1,8
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,13,0,0,0,13,13
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,5,0,0,0,5,5
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,0,0,0,4,0,4
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,14,0,0,4,14,18
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,6,0,0,18,6,24
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,16,0,0,0,16,16
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,14,0,0,2,14,16
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,15,17,0,0,15,17,32
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,11,0,0,6,11,17
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,14,3,0,0,14,3,17
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,3,0,0,9,3,12
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,7,0,0,0,7,7
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,8,0,0,3,8,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,16,0,0,18,16,34
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,10,0,0,9,10,19
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,14,0,0,12,14,26
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,0,0,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,1,0,0,1,1,2
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,2,0,0,0,2,2
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,43,9,0,0,43,9,52
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,15,15,0,0,15,15,30
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,4,0,0,3,4,7
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,6,0,0,0,6,6
