,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,3,0,0,3,3,6
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,10,33,0,0,10,33,43
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,18,0,0,3,18,21
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,16,34,0,0,16,34,50
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,5,0,0,4,5,9
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,1,0,0,7,1,8
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,13,0,0,0,13,13
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,2,0,0,0,2,2
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,0,0,0,4,0,4
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,14,0,0,4,14,18
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,18,6,0,0,18,6,24
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,16,0,0,0,16,16
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,14,0,0,2,14,16
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,14,17,0,0,14,17,31
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,10,0,0,5,10,15
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,12,3,0,0,12,3,15
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,4,0,0,7,4,11
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,7,0,0,0,7,7
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,14,0,0,1,14,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,10,0,0,17,10,27
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,9,0,0,7,9,16
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,16,19,0,0,16,19,35
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,0,0,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,1,0,0,1,1,2
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,27,5,0,0,27,5,32
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,8,0,0,3,8,11
