municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
PORCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SANTA ROSA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
