municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
EXALTACION,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-01-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-02-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,2,2
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,2,2
MAPIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-04-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-04-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-04-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-05-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-06-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-07-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-07-01,1,1
TARACO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-07-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-08-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-08-01,1,1
ESCOMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-09-01,1,1
LLICA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-09-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-09-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-09-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-09-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-10-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-10-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-10-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-10-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
HUMANATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-11-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-12-01,1,1
SICAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2022-12-01,1,1
