municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,17,17
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
MAPIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,2,2
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-01-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,7,7
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,2,2
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,6,6
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,2,2
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,6,6
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2022-02-01,1,1
