municipality,group,variable,month,RN con malformación congénita,TOTAL
SAN IGNACIO,atencion de partos en domicilio,rn con malformacion congenita,2022-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2022-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con malformacion congenita,2022-02-01,1,1
NAZACARA DE PACAJES,atencion de partos en domicilio,rn con malformacion congenita,2022-02-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2022-03-01,1,1
COROICO,atencion de partos en domicilio,rn con malformacion congenita,2022-03-01,1,1
ICHOCA,atencion de partos en domicilio,rn con malformacion congenita,2022-03-01,1,1
MIZQUE,atencion de partos en domicilio,rn con malformacion congenita,2022-03-01,1,1
SORATA,atencion de partos en domicilio,rn con malformacion congenita,2022-03-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2022-04-01,1,1
OCURI,atencion de partos en domicilio,rn con malformacion congenita,2022-04-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2022-04-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con malformacion congenita,2022-04-01,1,1
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2022-05-01,1,1
HUARINA,atencion de partos en domicilio,rn con malformacion congenita,2022-05-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con malformacion congenita,2022-05-01,1,1
TARVITA,atencion de partos en domicilio,rn con malformacion congenita,2022-05-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2022-06-01,1,1
TAPACARI,atencion de partos en domicilio,rn con malformacion congenita,2022-06-01,1,1
TARABUCO,atencion de partos en domicilio,rn con malformacion congenita,2022-06-01,1,1
TARVITA,atencion de partos en domicilio,rn con malformacion congenita,2022-06-01,1,1
LA ASUNTA,atencion de partos en domicilio,rn con malformacion congenita,2022-07-01,1,1
OCURI,atencion de partos en domicilio,rn con malformacion congenita,2022-07-01,1,1
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2022-07-01,1,1
COLQUENCHA,atencion de partos en domicilio,rn con malformacion congenita,2022-08-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,rn con malformacion congenita,2022-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con malformacion congenita,2022-08-01,1,1
TOTORA(ORR),atencion de partos en domicilio,rn con malformacion congenita,2022-08-01,1,1
ARQUE,atencion de partos en domicilio,rn con malformacion congenita,2022-09-01,1,1
MOCOMOCO,atencion de partos en domicilio,rn con malformacion congenita,2022-09-01,1,1
SORATA,atencion de partos en domicilio,rn con malformacion congenita,2022-09-01,1,1
TARIJA,atencion de partos en domicilio,rn con malformacion congenita,2022-09-01,1,1
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2022-09-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
BETANZOS,atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
PASORAPA,atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con malformacion congenita,2022-10-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2022-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2022-11-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,rn con malformacion congenita,2022-11-01,1,1
HUMANATA,atencion de partos en domicilio,rn con malformacion congenita,2022-11-01,1,1
INCAHUASI,atencion de partos en domicilio,rn con malformacion congenita,2022-11-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,rn con malformacion congenita,2022-12-01,1,1
SAN RAFAEL,atencion de partos en domicilio,rn con malformacion congenita,2022-12-01,1,1
