municipality,group,variable,month,Nacidos muertos atendidos por otros,TOTAL
PORVENIR,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-01-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-02-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-02-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-03-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-04-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-04-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-04-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-05-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-05-01,2,2
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-06-01,1,1
ESCOMA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-07-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-07-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-08-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-08-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-09-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-09-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-09-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-10-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-11-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-12-01,1,1
SAN RAFAEL,atencion de partos en domicilio,nacidos muertos atendidos por otros,2022-12-01,1,1
