municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
ACHACACHI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,17,17
AIQUILE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
ANCORAIMES,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,11,11
ANZALDO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
APOLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,11,11
ARAMPAMPA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
ARBIETO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
ARQUE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,9,9
ASCENCION DE GUARAYOS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
AUCAPATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,5,5
AYATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
AYO AYO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,5,5
AZURDUY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
BATALLAS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,8,8
BELEN DE ANDAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
BETANZOS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,8,8
BOLIVAR,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,8,8
CABEZAS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,18,18
"CAIZA ""D""",atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
CAJUATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
CALACOTO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
CALAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,8,8
CAMARGO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
CAMIRI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
CAPINOTA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,5,5
CARACOLLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
