municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
ACACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
ACHACACHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,17,17
AIQUILE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ALALAY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
ANZALDO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
APOLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,10,10
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
ARBIETO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
ARQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
ATOCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
AUCAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
AYATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
AYO AYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
BELEN DE ANDAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
BETANZOS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
BOLIVAR,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
CABEZAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,18,18
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
CAJUATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
CALAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
CAMARGO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CARANAVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,11,11
CHIMORE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CHIPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
