municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACACIO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
ACHACACHI,atencion de partos en domicilio,primer control post parto,2022-01-01,17,17
AIQUILE,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
ALALAY,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,primer control post parto,2022-01-01,10,10
APOLO,atencion de partos en domicilio,primer control post parto,2022-01-01,11,11
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
ARQUE,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
ATOCHA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
AUCAPATA,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
AYATA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
AYO AYO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
AZURDUY,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
BATALLAS,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
BELEN DE ANDAMARCA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
BERMEJO,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
BOLIVAR,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CABEZAS,atencion de partos en domicilio,primer control post parto,2022-01-01,18,18
"CAIZA ""D""",atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CAJUATA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CAMARGO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CAMIRI,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
CAPINOTA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CARACOLLO,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
CARANAVI,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CARIPUYO,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2022-01-01,12,12
CHAQUI,atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
CHARAGUA,atencion de partos en domicilio,primer control post parto,2022-01-01,15,15
CHAYANTA,atencion de partos en domicilio,primer control post parto,2022-01-01,11,11
CHIPAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CHUA COCANI,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CHUMA,atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
CKOCHAS,atencion de partos en domicilio,primer control post parto,2022-01-01,10,10
COBIJA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
COCAPATA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
COLOMI,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2022-01-01,12,12
COLQUIRI,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
CONCEPCION,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
CORIPATA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
CORO CORO,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
COROICO,atencion de partos en domicilio,primer control post parto,2022-01-01,9,9
COTAGAITA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
