municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,8,8
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,8,8
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,5,5
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,8,8
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,8,8
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,5,5
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,6,6
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CHUA COCANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,6,6
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,5,5
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,6,6
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,3,3
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,6,6
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
DESAGUADERO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,4,4
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2022-01-01,1,1
