municipality,group,variable,month,Nacidos vivos atendidos por otros,TOTAL
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,3,3
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,14,14
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,4,4
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,3,3
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,4,4
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,5,5
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,5,5
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
TARATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,5,5
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,3,3
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,2,2
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,7,7
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,4,4
