municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
MAPIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-01-01,1,1
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,6,6
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
VIACHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-03-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-03-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2022-03-01,2,2
