municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,9,9
AIQUILE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
AUCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,7,7
BOLIVAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,6,6
CABEZAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
CAJUATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,6,6
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,6,6
CHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
CHUMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,10,10
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,5,5
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,7,7
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,6,6
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,9,9
COMBAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
COTAGAITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
CURVA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,5,5
EL VILLAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
EXALTACION,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
GUANAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,1,1
HUARINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2022-01-01,6,6
