municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
EXALTACION,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
PORVENIR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
SAN BORJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,2.0,2.0
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,2.0,2.0
TORO TORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-01-01,1.0,1.0
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-02-01,1.0,1.0
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-02-01,1.0,1.0
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-02-01,1.0,1.0
TUPIZA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-02-01,1.0,1.0
INQUISIVI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-03-01,2.0,2.0
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-03-01,1.0,1.0
AYO AYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-05-01,1.0,1.0
ORURO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-05-01,1.0,1.0
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-05-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-05-01,2.0,2.0
PUCARANI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-06-01,1.0,1.0
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-06-01,1.0,1.0
SANTA ANA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-06-01,1.0,1.0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-06-01,1.0,1.0
TUPIZA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-06-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-08-01,1.0,1.0
RIBERALTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-08-01,1.0,1.0
TIAHUANACU,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-08-01,1.0,1.0
ESCOMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-09-01,1.0,1.0
LLICA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-09-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-09-01,1.0,1.0
COCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-10-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-10-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-11-01,1.0,1.0
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-11-01,1.0,1.0
YOCALLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-11-01,1.0,1.0
SICAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2022-12-01,1.0,1.0
