,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con esquema reducido completo,2024-01-01,0,3,0,3,3
AIQUILE,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
ATOCHA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
CARANAVI,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
CARIPUYO,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema reducido completo,2024-01-01,2,2,2,2,4
COCHABAMBA,rabia,no de personas con esquema reducido completo,2024-01-01,73,63,73,63,136
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2024-01-01,9,6,9,6,15
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2024-01-01,2,0,2,0,2
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
COLQUIRI,rabia,no de personas con esquema reducido completo,2024-01-01,1,2,1,2,3
COMARAPA,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
CORIPATA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema reducido completo,2024-01-01,11,15,11,15,26
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2024-01-01,1,3,1,3,4
EL ALTO,rabia,no de personas con esquema reducido completo,2024-01-01,47,42,47,42,89
EL PUENTE(STC),rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
EL TORNO,rabia,no de personas con esquema reducido completo,2024-01-01,10,16,10,16,26
ENTRE RIOS TRJ,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
GUANAY,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
GUAYARAMERIN,rabia,no de personas con esquema reducido completo,2024-01-01,1,2,1,2,3
HUATAJATA,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
HUAYLLAMARCA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
LA ASUNTA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2024-01-01,21,13,21,13,34
LA PAZ,rabia,no de personas con esquema reducido completo,2024-01-01,89,78,89,78,167
LAJA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
MAIRANA,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2024-01-01,1,2,1,2,3
MONTERO,rabia,no de personas con esquema reducido completo,2024-01-01,9,2,9,2,11
OKINAWA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema reducido completo,2024-01-01,19,20,19,20,39
PAILON,rabia,no de personas con esquema reducido completo,2024-01-01,4,2,4,2,6
PALCA,rabia,no de personas con esquema reducido completo,2024-01-01,3,0,3,0,3
