,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2024-01-01,1,1,1,1,2
CARIPUYO,rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
CHUA COCANI,rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
COBIJA,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-01-01,61,31,61,31,92
CORIPATA,rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2024-01-01,28,26,28,26,54
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-01-01,5,3,5,3,8
LA PAZ,rabia,no de personas que abandonaron esquema,2024-01-01,27,30,27,30,57
MAPIRI,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2024-01-01,15,13,15,13,28
PORONGO,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2024-01-01,2,2,2,2,4
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-01-01,2,3,2,3,5
SAN CARLOS,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2024-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-01-01,3,6,3,6,9
SUCRE,rabia,no de personas que abandonaron esquema,2024-01-01,16,17,16,17,33
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-01-01,5,6,5,6,11
UNCIA,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
UYUNI,rabia,no de personas que abandonaron esquema,2024-01-01,2,2,2,2,4
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2024-01-01,3,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas que abandonaron esquema,2024-01-01,0,1,0,1,1
VINTO,rabia,no de personas que abandonaron esquema,2024-01-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2024-01-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-02-01,21,15,21,15,36
COMARAPA,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-02-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2024-02-01,17,21,17,21,38
GUANAY,rabia,no de personas que abandonaron esquema,2024-02-01,0,1,0,1,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-02-01,4,3,4,3,7
LA PAZ,rabia,no de personas que abandonaron esquema,2024-02-01,22,18,22,18,40
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2024-02-01,1,1,1,1,2
ORURO,rabia,no de personas que abandonaron esquema,2024-02-01,22,7,22,7,29
PALCA,rabia,no de personas que abandonaron esquema,2024-02-01,1,2,1,2,3
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
