,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,6,0,6,6
AIQUILE,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
APOLO,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
ATOCHA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
BAURES,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
CARACOLLO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
CARANAVI,rabia,no de personas con vacuna antirrabica,2024-01-01,2,2,2,2,4
CARAPARI,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
CARIPUYO,rabia,no de personas con vacuna antirrabica,2024-01-01,0,3,0,3,3
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
CHARAGUA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
CHIMORE,rabia,no de personas con vacuna antirrabica,2024-01-01,2,2,2,2,4
CHUA COCANI,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2024-01-01,4,2,4,2,6
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
CLIZA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
COBIJA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,4,1,4,5
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2024-01-01,109,69,109,69,178
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2024-01-01,6,2,6,2,8
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
COLQUIRI,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,2,2,2,4
COPACABANA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
CORIPATA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
COROICO,rabia,no de personas con vacuna antirrabica,2024-01-01,2,3,2,3,5
COTOCA,rabia,no de personas con vacuna antirrabica,2024-01-01,13,14,13,14,27
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2024-01-01,1,3,1,3,4
EL ALTO,rabia,no de personas con vacuna antirrabica,2024-01-01,121,120,121,120,241
EL PUENTE(STC),rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
EL TORNO,rabia,no de personas con vacuna antirrabica,2024-01-01,19,10,19,10,29
ENTRE RIOS TRJ,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
