,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,1,2,4,3,5,5
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,2,0,0,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,1,0,1,1,2,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,1,3,0,3,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,2,0,2,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,1,1,1,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,2,0,2,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2021-01-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,0,0,2,0,2,0
